Total,Big Plates,Small Plates
186.3,` 22.6 20.0      15.0 11.3     ,4.5 2.2 1.25 1.25
186.3,` 22.6 20.0 15.9      11.3     ,5.0 2.2 1.1
186.5,` 22.6 20.0      15.0      10.0,5.0 4.5 1.1
186.5,` 22.6 20.0 15.9           10.0,5.0 2.2 1.25 1.25
186.5,` 22.6 20.0 15.9 15.0          ,2.2 1.25 1.25
186.6,` 22.6 20.0 15.9      11.3     ,5.0 2.2 1.25
186.8,` 22.6 20.0      15.0      10.0,5.0 4.5 1.25
186.9,` 22.6 20.0           11.3 10.0 10.0,4.5
186.9,` 22.6 20.0      15.0 11.3     ,5.0 4.5
186.9,` 22.6 20.0 15.9      11.3     ,5.0 1.25 1.25 1.1
187.1,` 22.6 20.0 15.9           10.0 10.0,
187.1,` 22.6 20.0 15.9 15.0          ,5.0
187.3,` 22.6 20.0      15.0 11.3     ,5.0 2.2 1.25 1.25
187.5,` 22.6 20.0      15.0      10.0 10.0,1.1
187.8,` 22.6 20.0      15.0      10.0 10.0,1.25
187.9,` 22.6 20.0      15.0 11.3 10.0,
188.1,` 22.6 20.0 15.9      11.3     ,4.5 2.2 1.25 1.25
188.3,` 22.6 20.0 15.9           10.0,5.0 4.5 1.1
188.3,` 22.6 20.0 15.9 15.0          ,4.5 1.1
188.6,` 22.6 20.0 15.9           10.0,5.0 4.5 1.25
188.6,` 22.6 20.0 15.9 15.0          ,4.5 1.25
188.7,` 22.6 20.0      15.0      10.0,5.0 4.5 2.2
188.7,` 22.6 20.0 15.9      11.3     ,5.0 4.5
188.7,` 22.6 20.0 15.9 15.0          ,2.2 1.25 1.25 1.1
189.1,` 22.6 20.0      15.0 11.3     ,5.0 4.5 1.1
189.1,` 22.6 20.0 15.9      11.3     ,5.0 2.2 1.25 1.25
189.3,` 22.6 20.0      15.0      10.0,5.0 4.5 1.25 1.25
189.3,` 22.6 20.0 15.9           10.0 10.0,1.1
189.3,` 22.6 20.0 15.9 15.0          ,5.0 1.1
189.4,` 22.6 20.0      15.0 11.3     ,5.0 4.5 1.25
189.6,` 22.6 20.0 15.9           10.0 10.0,1.25
189.6,` 22.6 20.0 15.9 15.0          ,5.0 1.25
189.7,` 22.6 20.0      15.0      10.0 10.0,2.2
189.7,` 22.6 20.0 15.9      11.3 10.0,
190.1,` 22.6 20.0      15.0 11.3 10.0,1.1
190.4,` 22.6 20.0      15.0 11.3 10.0,1.25
190.5,` 22.6 20.0 15.9           10.0,5.0 4.5 2.2
190.5,` 22.6 20.0 15.9 15.0          ,4.5 2.2
190.8,` 22.6 20.0 15.9 15.0          ,4.5 1.25 1.1
190.9,` 22.6 20.0 15.9      11.3     ,5.0 4.5 1.1
191.1,` 22.6 20.0 15.9           10.0,5.0 4.5 1.25 1.25
191.1,` 22.6 20.0 15.9 15.0          ,4.5 1.25 1.25
191.2,` 22.6 20.0 15.9      11.3     ,5.0 4.5 1.25
191.3,` 22.6 20.0      15.0 11.3     ,5.0 4.5 2.2
191.5,` 22.6 20.0 15.9           10.0 10.0,2.2
191.5,` 22.6 20.0 15.9 15.0          ,5.0 2.2
191.8,` 22.6 20.0 15.9 15.0          ,5.0 1.25 1.1
191.9,` 22.6 20.0      15.0 11.3     ,5.0 4.5 1.25 1.25
191.9,` 22.6 20.0 15.9      11.3 10.0,1.1
192.1,` 22.6 20.0 15.9 15.0          ,5.0 1.25 1.25
192.2,` 22.6 20.0 15.9      11.3 10.0,1.25
192.3,` 22.6 20.0      15.0 11.3 10.0,2.2
192.7,` 22.6 20.0 15.9 15.0          ,4.5 2.2 1.1
193.0,` 22.6 20.0 15.9 15.0          ,4.5 2.2 1.25
193.1,` 22.6 20.0 15.9      11.3     ,5.0 4.5 2.2
193.3,` 22.6 20.0 15.9 15.0          ,4.5 1.25 1.25 1.1
193.7,` 22.6 20.0 15.9      11.3     ,5.0 4.5 1.25 1.25
193.7,` 22.6 20.0 15.9 15.0          ,5.0 2.2 1.1
194.0,` 22.6 20.0 15.9 15.0          ,5.0 2.2 1.25
194.1,` 22.6 20.0 15.9      11.3 10.0,2.2
194.3,` 22.6 20.0      15.0      10.0 10.0,4.5
194.3,` 22.6 20.0 15.9 15.0          ,5.0 1.25 1.25 1.1
195.5,` 22.6 20.0 15.9 15.0          ,4.5 2.2 1.25 1.25
196.1,` 22.6 20.0 15.9           10.0 10.0,4.5
196.1,` 22.6 20.0 15.9 15.0          ,5.0 4.5
196.5,` 22.6 20.0 15.9 15.0          ,5.0 2.2 1.25 1.25
196.9,` 22.6 20.0      15.0 11.3 10.0,4.5
197.1,` 22.6 20.0 15.9 15.0      10.0,
197.9,` 22.6 20.0      15.0 11.3 10.0,5.0
198.3,` 22.6 20.0 15.9 15.0          ,5.0 4.5 1.1
198.6,` 22.6 20.0 15.9 15.0          ,5.0 4.5 1.25
198.7,` 22.6 20.0 15.9      11.3 10.0,4.5
199.3,` 22.6 20.0 15.9 15.0      10.0,1.1
199.6,` 22.6 20.0 15.9 15.0      10.0,1.25
199.7,` 22.6 20.0 15.9      11.3 10.0,5.0
199.7,` 22.6 20.0 15.9 15.0 11.3     ,
200.5,` 22.6 20.0 15.9 15.0          ,5.0 4.5 2.2
201.1,` 22.6 20.0 15.9 15.0          ,5.0 4.5 1.25 1.25
201.5,` 22.6 20.0 15.9 15.0      10.0,2.2
201.9,` 22.6 20.0 15.9 15.0 11.3     ,1.1
202.2,` 22.6 20.0 15.9 15.0 11.3     ,1.25
204.1,` 22.6 20.0 15.9 15.0 11.3     ,2.2
206.1,` 22.6 20.0 15.9 15.0      10.0,4.5
207.1,` 22.6 20.0 15.9 15.0      10.0,5.0
207.9,` 22.6 20.0      15.0 11.3 10.0 10.0,
208.7,` 22.6 20.0 15.9 15.0 11.3     ,4.5
209.7,` 22.6 20.0 15.9      11.3 10.0 10.0,
209.7,` 22.6 20.0 15.9 15.0 11.3     ,5.0
217.1,` 22.6 20.0 15.9 15.0      10.0 10.0,
219.7,` 22.6 20.0 15.9 15.0 11.3 10.0,
