Total,Big Plates,Small Plates
153.4,` 22.6 20.0                10.0,4.5 2.2 1.25 1.1
153.5,` 22.6 20.0           11.3     ,4.5 2.2 1.1
153.7,` 22.6 20.0                10.0,4.5 2.2 1.25 1.25
153.7,` 22.6 20.0 15.9               ,2.2 1.1
153.8,` 22.6 20.0           11.3     ,4.5 2.2 1.25
154.0,` 22.6 20.0 15.9               ,2.2 1.25
154.1,` 22.6 20.0           11.3     ,4.5 1.25 1.25 1.1
154.3,` 22.6 20.0                10.0,5.0 4.5
154.3,` 22.6 20.0      15.0          ,4.5
154.3,` 22.6 20.0 15.9               ,1.25 1.25 1.1
154.4,` 22.6 20.0                10.0,5.0 2.2 1.25 1.1
154.4,` 22.6 20.0      15.0          ,2.2 1.25 1.1
154.5,` 22.6 20.0           11.3     ,5.0 2.2 1.1
154.7,` 22.6 20.0                10.0,5.0 2.2 1.25 1.25
154.7,` 22.6 20.0      15.0          ,2.2 1.25 1.25
154.8,` 22.6 20.0           11.3     ,5.0 2.2 1.25
155.1,` 22.6 20.0           11.3     ,5.0 1.25 1.25 1.1
155.3,` 22.6 20.0                10.0 10.0,
155.3,` 22.6 20.0      15.0          ,5.0
155.9,` 22.6 20.0                10.0,4.5 2.2 1.25 1.25 1.1
156.0,` 22.6 20.0           11.3     ,4.5 2.2 1.25 1.1
156.1,` 22.6 20.0 15.9               ,4.5
156.2,` 22.6 20.0 15.9               ,2.2 1.25 1.1
156.3,` 22.6 20.0           11.3     ,4.5 2.2 1.25 1.25
156.5,` 22.6 20.0                10.0,5.0 4.5 1.1
156.5,` 22.6 20.0      15.0          ,4.5 1.1
156.5,` 22.6 20.0 15.9               ,2.2 1.25 1.25
156.8,` 22.6 20.0                10.0,5.0 4.5 1.25
156.8,` 22.6 20.0      15.0          ,4.5 1.25
156.9,` 22.6 20.0                10.0,5.0 2.2 1.25 1.25 1.1
156.9,` 22.6 20.0           11.3     ,5.0 4.5
156.9,` 22.6 20.0      15.0          ,2.2 1.25 1.25 1.1
157.0,` 22.6 20.0           11.3     ,5.0 2.2 1.25 1.1
157.1,` 22.6 20.0 15.9               ,5.0
157.3,` 22.6 20.0           11.3     ,5.0 2.2 1.25 1.25
157.5,` 22.6 20.0                10.0 10.0,1.1
157.5,` 22.6 20.0      15.0          ,5.0 1.1
157.8,` 22.6 20.0                10.0 10.0,1.25
157.8,` 22.6 20.0      15.0          ,5.0 1.25
157.9,` 22.6 20.0           11.3 10.0,
158.3,` 22.6 20.0 15.9               ,4.5 1.1
158.5,` 22.6 20.0           11.3     ,4.5 2.2 1.25 1.25 1.1
158.6,` 22.6 20.0 15.9               ,4.5 1.25
158.7,` 22.6 20.0                10.0,5.0 4.5 2.2
158.7,` 22.6 20.0      15.0          ,4.5 2.2
158.7,` 22.6 20.0 15.9               ,2.2 1.25 1.25 1.1
159.0,` 22.6 20.0                10.0,5.0 4.5 1.25 1.1
159.0,` 22.6 20.0      15.0          ,4.5 1.25 1.1
159.1,` 22.6 20.0           11.3     ,5.0 4.5 1.1
159.3,` 22.6 20.0                10.0,5.0 4.5 1.25 1.25
159.3,` 22.6 20.0      15.0          ,4.5 1.25 1.25
159.3,` 22.6 20.0 15.9               ,5.0 1.1
159.4,` 22.6 20.0           11.3     ,5.0 4.5 1.25
159.5,` 22.6 20.0           11.3     ,5.0 2.2 1.25 1.25 1.1
159.6,` 22.6 20.0 15.9               ,5.0 1.25
159.7,` 22.6 20.0                10.0 10.0,2.2
159.7,` 22.6 20.0      15.0          ,5.0 2.2
160.0,` 22.6 20.0                10.0 10.0,1.25 1.1
160.0,` 22.6 20.0      15.0          ,5.0 1.25 1.1
160.1,` 22.6 20.0           11.3 10.0,1.1
160.3,` 22.6 20.0                10.0 10.0,1.25 1.25
160.3,` 22.6 20.0      15.0          ,5.0 1.25 1.25
160.4,` 22.6 20.0           11.3 10.0,1.25
160.5,` 22.6 20.0 15.9               ,4.5 2.2
160.8,` 22.6 20.0 15.9               ,4.5 1.25 1.1
160.9,` 22.6 20.0                10.0,5.0 4.5 2.2 1.1
160.9,` 22.6 20.0      15.0          ,4.5 2.2 1.1
161.1,` 22.6 20.0 15.9               ,4.5 1.25 1.25
161.2,` 22.6 20.0                10.0,5.0 4.5 2.2 1.25
161.2,` 22.6 20.0      15.0          ,4.5 2.2 1.25
161.3,` 22.6 20.0           11.3     ,5.0 4.5 2.2
161.5,` 22.6 20.0                10.0,5.0 4.5 1.25 1.25 1.1
161.5,` 22.6 20.0      15.0          ,4.5 1.25 1.25 1.1
